model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-bert,1,0.18,2.35,7.63,10.56,19.68,28.34,2.46,0.18,2.35,7.63,10.56,19.68,28.34,78.04,77.5,70.46
MLP-bert,2,0.05,1.94,6.14,10.6,20.31,28.43,2.27,0.05,1.94,6.14,10.6,20.31,28.43,77.69,77.3,70.19
MLP-bert,3,0.36,2.08,5.01,11.15,20.44,29.56,2.64,0.36,2.08,5.01,11.15,20.44,29.56,77.5,77.7,69.79
MLP-bert,4,0.14,2.57,6.59,10.88,19.86,26.76,2.59,0.14,2.57,6.59,10.88,19.86,26.76,78.05,77.72,70.49
MLP-e5-large,0,0.9,2.93,11.96,14.62,25.54,39.31,3.8,0.9,2.93,11.96,14.62,25.54,39.31,86.09,84.75,77.55
MLP-e5-large,1,0.77,2.08,5.32,12.05,21.34,34.88,3.74,0.77,2.08,5.32,12.05,21.34,34.88,85.6,84.19,77.87
MLP-e5-large,2,1.67,2.21,7.72,14.49,22.56,32.99,4.09,1.67,2.21,7.72,14.49,22.56,32.99,84.12,83.19,76.31
MLP-e5-large,3,0.72,2.35,7.72,17.64,26.17,38.54,4.11,0.72,2.35,7.72,17.64,26.17,38.54,86.27,84.9,77.96
MLP-e5-large,4,0.86,3.97,7.76,13.9,24.5,36.69,4.56,0.86,3.97,7.76,13.9,24.5,36.69,85.69,84.44,76.62
MLP-llama,0,12.41,9.52,31.86,42.69,54.56,70.31,18.43,12.41,9.52,31.86,42.69,54.56,70.31,94.42,94.17,86.58
MLP-llama,1,8.84,17.15,29.02,39.35,57.76,71.84,16.35,8.84,17.15,29.02,39.35,57.76,71.84,94.33,94.15,86.98
MLP-llama,2,5.51,8.21,29.06,42.78,53.29,71.21,11.19,5.51,8.21,29.06,42.78,53.29,71.21,94.55,94.26,86.69
MLP-llama,3,11.96,17.33,31.23,42.51,54.83,69.77,16.79,11.96,17.33,31.23,42.51,54.83,69.77,94.37,94.23,86.67
MLP-llama,4,2.39,9.88,28.34,36.01,57.67,69.77,8.94,2.39,9.88,28.34,36.01,57.67,69.77,94.23,93.86,86.46
MLP-minilm,0,0.45,3.38,9.52,13.0,20.85,32.76,3.66,0.45,3.38,9.52,13.04,20.85,32.76,79.38,79.46,70.78
MLP-bert,0,0.09,0.23,2.35,4.33,9.39,16.25,1.03,0.09,0.23,2.35,4.33,9.39,16.25,61.69,63.45,58.73
