model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-bert,2,4.57,6.51,10.61,12.9,18.05,26.61,6.87,4.57,6.51,10.61,12.9,18.05,26.61,66.65,70.09,61.84
MLP-minilm,4,4.92,13.19,17.64,22.22,30.48,39.57,10.29,4.92,13.19,17.64,22.22,30.48,39.57,74.72,78.15,68.2
MLP-bert,0,1.93,10.14,12.31,17.88,27.49,32.53,6.73,1.93,10.14,12.31,17.88,27.49,32.53,68.17,73.96,64.01
MLP-bert,3,8.21,8.21,11.55,13.6,18.23,23.68,9.27,8.21,8.21,11.55,13.6,18.23,23.68,66.13,69.53,61.81
MLP-bert,1,0.35,9.32,14.65,18.58,27.02,31.89,9.47,0.35,9.32,14.65,18.58,27.02,31.89,68.99,73.53,63.89
MLP-bert,4,6.04,8.44,10.38,13.6,20.16,25.56,8.1,6.04,8.44,10.38,13.6,20.16,25.56,65.75,69.61,60.46
MLP-bert,2,1.17,9.14,13.07,18.05,24.97,29.89,7.2,1.17,9.14,13.07,18.05,24.97,29.89,68.6,73.36,63.75
MLP-minilm,0,0.88,3.17,6.74,9.09,15.01,20.98,3.06,0.88,3.17,6.74,9.09,15.01,20.98,61.96,65.11,57.56
MLP-minilm,1,0.7,3.4,6.51,9.67,14.77,19.99,3.32,0.7,3.4,6.51,9.67,14.77,19.99,62.91,65.91,58.62
MLP-minilm,2,0.47,3.34,6.21,8.44,13.72,18.87,2.33,0.47,3.34,6.21,8.44,13.72,18.87,61.12,64.27,56.54
MLP-minilm,3,1.52,3.46,5.92,9.09,12.31,20.05,3.2,1.52,3.46,5.92,9.09,12.31,20.05,62.18,65.02,57.03
MLP-minilm,4,0.53,3.75,6.98,9.61,16.41,21.04,3.41,0.53,3.75,6.98,9.61,16.41,21.04,62.72,66.14,58.21
MLP-bert,0,4.57,6.62,9.44,12.37,16.47,22.57,6.18,4.57,6.62,9.44,12.37,16.47,22.57,63.64,67.96,60.67
MLP-bert,1,4.81,6.33,9.2,12.95,17.35,22.16,6.42,4.81,6.33,9.2,12.95,17.35,22.16,65.22,67.79,61.08
MLP-bert,2,2.7,5.69,9.5,12.9,18.23,22.86,5.26,2.7,5.69,9.5,12.9,18.23,22.86,64.63,67.75,60.49
MLP-bert,3,2.93,6.21,10.61,12.78,17.64,22.68,5.14,2.93,6.21,10.61,12.78,17.64,22.68,64.11,67.65,60.11
MLP-bert,4,1.11,5.86,9.26,11.02,17.64,23.27,5.48,1.11,5.86,9.26,11.02,17.64,23.27,65.19,68.26,60.82
MLP-minilm,0,2.58,5.39,10.61,14.89,25.38,35.52,5.7,2.58,5.39,10.61,15.01,25.38,35.52,75.21,77.12,68.67
