Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels,batch_size,lr,max_hash_hops,label_dropout,feature_dropout,sign_dropout
pubmed_runygm2l1i2_BUDDY_hypero1qu143n,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,2,0.5,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyperfx17ll6i,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyperdjhixtau,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyperyg6n7w7w,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperbsh8e3mb,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.3,0.1
pubmed_runygm2l1i2_BUDDY_hyper3t1q9xbf,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.3,0.3
pubmed_runygm2l1i2_BUDDY_hypero9nomwxr,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.3,0.5
pubmed_runygm2l1i2_BUDDY_hypergwnehhtj,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.5,0.1
pubmed_runygm2l1i2_BUDDY_hypermj9s8l7s,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.5,0.3
pubmed_runygm2l1i2_BUDDY_hyperawjpqvz9,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.1,0.5,0.5
pubmed_runygm2l1i2_BUDDY_hyper87stt7ld,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.1,0.1
pubmed_runygm2l1i2_BUDDY_hyper7bdqkza6,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.1,0.3
pubmed_runygm2l1i2_BUDDY_hyper7nfxu0og,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.1,0.5
pubmed_runygm2l1i2_BUDDY_hyperb3900gpt,7.78,9.54,32.2,55.84,71.98,86.55,17.97,7.78,9.54,32.2,55.84,71.98,86.55,98.82,98.47,54.99,128,512,0.001,3,0.3,0.3,0.1
