Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,gnndp,xdp,tdp,gnnedp,predp,preedp,gnnlr,prelr,hiddim,batch_size
arxiv_2023_run<built-in function id>_NCN_hyperqbtorsyp,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,512
arxiv_2023_run<built-in function id>_NCN_hypervegj8cab,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyper608mq1n6,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperjf0a6ntx,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperamwu7o3x,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,1024
arxiv_2023_run<built-in function id>_NCN_hyperrh0jiigt,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper9d6aaix0,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hypermr2izwsr,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyper1aa4wsjw,26.98,57.71,90.42,95.89,98.48,98.88,40.95,26.98,57.71,90.42,95.89,98.48,98.88,99.67,99.67,97.87,0.0,0.0,0.0,0.0,0.05,0.0,0.0001,0.0001,64,2048
arxiv_2023_run<built-in function id>_NCN_hyperd9fl05qc,26.98,57.71,90.42,96.75,98.58,99.29,40.95,26.98,57.71,90.42,96.75,98.58,99.29,99.68,99.7,97.95,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyper395kapli,26.98,57.71,90.42,96.75,98.58,99.29,40.95,26.98,57.71,90.42,96.75,98.58,99.29,99.68,99.7,97.95,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperrxj84rxs,26.98,57.71,90.42,96.75,98.58,99.29,40.95,26.98,57.71,90.42,96.75,98.58,99.29,99.68,99.7,97.95,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperldlqnby2,26.98,57.71,90.42,96.75,98.58,99.29,40.95,26.98,57.71,90.42,96.75,98.58,99.29,99.68,99.7,97.95,0.0,0.0,0.0,0.0,0.05,0.1,0.0001,0.0001,64,256
arxiv_2023_run<built-in function id>_NCN_hyperreil084o,26.98,57.71,90.42,96.75,98.58,99.29,40.95,26.98,57.71,90.42,96.75,98.58,99.29,99.68,99.7,97.95,0.0,0.0,0.0,0.0,0.05,0.1,0.001,0.001,64,512
