Metric,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC,hidden_channels, num_layers,f_node_dim,f_global_dim,dropout,batch_size,gnn_batch_size,lr
cora_runuol7yvm3_NeoGNN_hyper4ia3591l,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hypernagf8lse,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,1024,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperdvwyya3n,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,1024,4096,0.001
cora_runuol7yvm3_NeoGNN_hyper9a5lsv4c,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,1024,8192,0.01
cora_runuol7yvm3_NeoGNN_hyper172dkr2y,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.0,1024,8192,0.001
cora_runuol7yvm3_NeoGNN_hyperbbcq6eay,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,512,4096,0.01
cora_runuol7yvm3_NeoGNN_hyperftujbepz,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,512,4096,0.001
cora_runuol7yvm3_NeoGNN_hyperdxxn71m8,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,512,8192,0.01
cora_runuol7yvm3_NeoGNN_hyperb02frx5a,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,512,8192,0.001
cora_runuol7yvm3_NeoGNN_hypern6szpqkv,63.28,66.79,88.75,93.54,94.28,95.76,70.57,63.28,66.79,88.75,93.54,94.28,95.76,97.27,98.08,95.02,64,2,128,64,0.1,1024,4096,0.01
